artist,unique_songs,total_days_charted,average_rank,best_rank_ever,avg_popularity,artist_dominance_index
Taylor Swift,96,438,24.55,1,87.1,0.901
Zach Bryan,35,546,25.61,1,86.03,0.679
Morgan Wallen,10,540,30.61,1,85.41,0.542
"Tyler, The Creator",16,445,25.29,1,88.4,0.486
Drake,35,325,26.3,1,84.63,0.476
Travis Scott,31,332,25.76,1,88.6,0.462
Noah Kahan,8,437,18.82,1,90.18,0.437
SZA,3,401,26.2,3,91.66,0.377
Billie Eilish,12,333,20.36,2,92.77,0.362
Sabrina Carpenter,14,316,17.61,1,90.2,0.357
Olivia Rodrigo,18,280,21.51,1,90.26,0.345
Luke Combs,6,335,28.11,3,86.56,0.333
Kendrick Lamar,20,247,17.05,1,87.73,0.326
J. Cole,13,275,33.46,3,88.78,0.315
Gunna,5,308,20.74,1,91.07,0.303
Teddy Swims,1,329,23.5,5,90.92,0.301
Post Malone,27,179,26.04,1,77.92,0.3
Benson Boone,3,307,23.65,1,89.32,0.291
Peso Pluma,11,234,32.54,7,88.68,0.266
Bad Bunny,22,168,22.76,1,85.35,0.264
Future & Metro Boomin,19,169,23.04,1,84.86,0.249
Tate McRae,5,249,21.26,3,91.89,0.249
Ariana Grande,15,185,21.49,1,88.82,0.242
Chappell Roan,6,232,20.65,1,88.66,0.238
Doja Cat,4,238,19.53,1,84.61,0.233
Lil Uzi Vert,35,54,29.98,2,78.42,0.228
Hozier,4,230,16.72,1,82.72,0.226
Shaboozey,1,226,10.77,1,85.39,0.206
Mitski,1,224,16.57,2,95.04,0.205
Frank Ocean,2,217,39.73,23,89.75,0.203
Tommy Richman,3,206,18.34,1,88.41,0.199
¥$ & Kanye West & Ty Dolla $ign,18,113,22.43,1,78.68,0.192
Beyoncé,25,72,23.31,1,70.62,0.191
Dasha,2,198,32.06,14,88.48,0.186
Lil Tecca,3,186,25.03,12,82.83,0.18
21 Savage,13,116,20.17,2,89.12,0.169
The Neighbourhood,1,183,37.25,21,90.93,0.167
Eslabon Armado,1,170,18.96,1,89.68,0.155
KAROL G,6,140,35.06,13,89.69,0.154
Fuerza Regida,4,149,30.41,8,92.14,0.152
Jack Harlow,1,157,10.75,1,94.97,0.143
Eminem,17,62,23.62,2,81.46,0.14
The Kid LAROI,2,147,31.68,20,87.48,0.139
Djo,1,148,25.4,3,94.74,0.135
Kali Uchis,2,140,36.21,6,88.03,0.133
Gracie Abrams,4,125,23.04,1,85.47,0.13
Jimin,2,131,8.27,1,92.66,0.125
Michael Marcagi,1,127,38.98,13,89.14,0.116
Dua Lipa,4,110,24.42,8,93.34,0.116
Xavi,3,106,22.09,5,95.62,0.107
Nicki Minaj,11,59,26.1,6,83.9,0.106
FloyyMenor & Cris Mj,1,113,31.03,13,96.22,0.103
Yng Lvcas & Peso Pluma,1,113,23.83,6,98.01,0.103
JID,1,110,25.55,9,92.18,0.1
Miley Cyrus,3,97,27.04,4,87.56,0.099
The Weeknd,5,85,39.33,10,83.71,0.098
Artemas,2,100,20.72,3,95.61,0.096
Nicki Minaj & Ice Spice & Aqua,1,104,18.75,1,92.01,0.094
Lady Gaga & Bruno Mars,1,103,3.47,1,96.81,0.094
Lil Durk,4,86,22.17,3,82.88,0.094
Metro Boomin,9,56,30.45,4,90.12,0.093
PinkPantheress & Ice Spice,1,100,24.87,9,94.21,0.091
Don Toliver,6,67,39.09,9,81.1,0.087
Post Malone & Morgan Wallen,1,95,3.91,1,93.92,0.086
Bryson Tiller,2,89,23.12,4,85.0,0.086
Charli xcx,6,65,33.56,8,84.93,0.085
Gigi Perez,1,94,14.78,3,85.72,0.085
Harry Styles,1,92,33.72,23,92.78,0.083
Kanye West & Ty Dolla $ign,16,4,19.33,1,79.94,0.082
Kenya Grace,1,83,33.24,15,95.8,0.075
Jung Kook & Latto,1,81,22.36,1,98.65,0.073
Rich Amiri,1,81,24.84,13,85.69,0.073
Grupo Frontera & Bad Bunny,1,79,13.33,3,99.2,0.072
GloRilla,4,60,39.82,22,76.89,0.07
