song,artist,days_on_chart,average_rank,best_rank,rank_volatility_index,avg_popularity,peak_popularity,duration_min,album_type,total_tracks,is_explicit,first_seen,last_seen
"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,26,15.5,3,12.13,86.77,91,3.01,album,21,False,2024-10-29,2024-11-23
(Don't Fear) The Reaper,Blue Öyster Cult,1,50.0,50,0.0,77.0,77,5.14,album,10,False,2025-11-02,2025-11-02
(There's No Place Like) Home for the Holidays - 1959 Version,Perry Como,2,45.0,45,0.0,70.0,70,2.93,album,10,False,2024-12-26,2024-12-27
16 CARRIAGES,Beyoncé,10,26.0,16,10.64,64.5,81,3.89,single,1,False,2025-02-14,2025-04-05
2 hands,Tate McRae,7,33.57,8,12.29,76.57,80,3.03,single,2,True,2025-11-17,2025-11-23
28,Zach Bryan,100,27.57,10,12.26,84.87,87,3.89,album,19,False,2025-07-06,2025-10-26
3001,J. Cole,1,32.0,32,0.0,68.0,68,2.63,album,12,True,2025-04-07,2025-04-07
360,Charli xcx,43,34.05,19,9.6,87.7,89,2.23,album,15,True,2025-07-18,2025-08-31
3D (feat. Jack Harlow),Jung Kook & Jack Harlow,12,26.33,9,18.43,66.25,88,3.36,single,3,True,2024-09-30,2024-10-11
500lbs,Lil Tecca,186,24.83,12,10.01,83.39,88,2.41,album,16,True,2024-09-24,2025-04-20
505,Arctic Monkeys,17,43.76,36,3.75,80.18,84,4.23,album,12,False,2025-09-09,2025-10-02
57,KAROL G & Feid & DFZM,1,47.0,47,0.0,69.0,69,4.97,single,1,True,2025-11-10,2025-11-10
7 Minute Drill,J. Cole,7,16.57,3,11.67,78.86,82,3.54,album,12,True,2025-04-07,2025-04-13
7969 Santa,Drake,7,15.0,9,4.86,67.14,82,4.33,album,23,True,2024-10-07,2024-10-13
8am in Charlotte,Drake,7,14.71,13,1.7,66.57,82,4.45,album,23,True,2024-10-07,2024-10-13
A Bar Song (Tipsy),Shaboozey,226,10.77,1,8.68,85.39,96,2.85,single,1,True,2025-04-14,2025-11-27
A Holly Jolly Christmas,Burl Ives,37,13.65,7,9.59,87.73,91,2.26,album,12,False,2024-11-20,2024-12-27
A Night To Remember,beabadoobee & Laufey,1,32.0,32,0.0,0.0,0,3.89,single,1,False,2024-10-21,2024-10-21
ACHO PR,Bad Bunny,2,28.0,28,0.0,39.0,78,5.99,album,22,True,2024-10-14,2024-10-15
ADIVINO,Myke Towers & Bad Bunny,3,40.67,36,4.04,85.0,89,4.64,single,1,True,2025-04-28,2025-07-16
ALL RED,Playboi Carti,20,18.3,1,10.55,89.25,91,2.47,single,1,True,2025-09-15,2025-10-04
ALLIIGATOR TEARS,Beyoncé,4,34.5,22,12.07,50.0,52,2.99,album,27,False,2025-03-31,2025-04-03
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),Beyoncé & Kendrick Lamar,10,31.6,12,13.95,77.9,84,4.35,single,1,True,2024-05-22,2024-06-03
AMERIICAN REQUIEM,Beyoncé,6,25.5,6,15.55,55.5,58,5.42,album,27,False,2025-03-31,2025-04-05
AMG,Natanael Cano & Peso Pluma & Gabito Ballesteros,34,33.06,20,8.49,94.24,95,2.92,single,1,True,2024-05-18,2024-06-20
ANTHEM PART 3,blink-182,1,40.0,40,0.0,0.0,0,3.55,album,17,True,2024-10-21,2024-10-21
APT.,ROSÉ & Bruno Mars,39,9.05,1,5.3,94.72,98,2.83,single,1,False,2025-10-20,2025-11-27
ATTITUDE (FEAT. CHARLIE WILSON & CASH COBAIN),Don Toliver,1,39.0,39,0.0,63.0,63,2.68,album,16,True,2025-06-18,2025-06-18
Abracadabra (feat. Travis Scott),Young Thug,1,49.0,49,0.0,69.0,69,4.13,album,15,True,2024-06-25,2024-06-25
Agora Hills,Doja Cat,175,22.47,6,12.67,81.63,86,4.42,album,15,True,2024-09-24,2025-03-23
Ain't No Love,Future & Metro Boomin,1,27.0,27,0.0,0.0,0,3.05,album,17,True,2025-03-24,2025-03-24
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,121,31.21,15,9.55,83.65,86,3.52,single,1,False,2025-05-19,2025-10-26
Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell,1,50.0,50,0.0,87.0,87,2.53,album,12,False,2024-11-24,2024-11-24
Ain't No Sunshine,Bill Withers,1,49.0,49,0.0,86.0,86,2.08,album,12,False,2025-04-10,2025-04-10
All Alone,Lil Uzi Vert,1,22.0,22,0.0,72.0,72,3.71,album,26,True,2024-07-02,2024-07-02
All I Want for Christmas Is You,Mariah Carey,75,17.27,2,15.16,91.0,100,4.02,album,10,False,2024-11-02,2025-11-27
All My Life (feat. J. Cole),Lil Durk & J. Cole,96,20.76,3,15.47,82.99,89,3.73,single,1,True,2024-05-18,2024-08-25
All Summer Long,Kid Rock,2,28.0,28,0.0,78.5,79,4.96,album,12,False,2024-07-05,2024-07-06
All The Parties (feat. Chief Keef),Drake,7,26.43,17,7.83,65.14,80,3.64,album,23,True,2024-10-07,2024-10-13
All The Stars (with SZA),Kendrick Lamar & SZA,1,46.0,46,0.0,87.0,87,3.87,album,14,True,2025-05-11,2025-05-11
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",Metro Boomin,6,43.0,27,8.07,77.17,81,4.09,album,13,False,2024-06-04,2024-06-09
All You Had To Do Was Stay (Taylor's Version),Taylor Swift,9,27.0,11,13.3,75.22,86,3.22,album,21,False,2024-10-29,2024-11-06
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Metro Boomin,28,24.07,12,10.69,87.71,92,4.27,album,13,False,2024-06-04,2024-07-01
Amen (feat. Teezo Touchdown),Drake,7,17.71,7,8.44,67.14,82,2.35,album,23,True,2024-10-07,2024-10-13
